id,Label,Weight
Menschen,Menschen,18393
Land,Land,14058
Deutschland,Deutschland,13627
deutschen,deutschen,10105
Ende,Ende,9236
Türkei,Türkei,8120
Zeit,Zeit,8051
Welt,Welt,6956
Berlin,Berlin,6479
Politik,Politik,5650
zusammen,zusammen,5624
neue,neue,5339
neuen,neuen,5338
Euro,Euro,5290
Europa,Europa,4309
Länder,Länder,4104
Entwicklung,Entwicklung,3731
deutsche,deutsche,3334
Zukunft,Zukunft,3263
China,China,2987
Regierung,Regierung,2863
Wohnungen,Wohnungen,2826
Bereich,Bereich,2453
Merkel,Merkel,2163
Wirtschaft,Wirtschaft,2154
Höhe,Höhe,1783
Präsident,Präsident,1323
Schicksalsgemeinschaft,Schicksalsgemeinschaft,1314
Kunden,Kunden,1028
Zusammenarbeit,Zusammenarbeit,909
TEUR,TEUR,770
Unternehmen,Unternehmen,689
Verbindlichkeiten,Verbindlichkeiten,544
Staaten,Staaten,477
Wachstum,Wachstum,466
USA,USA,304
Geschäftsjahr,Geschäftsjahr,247
EU,EU,219
chinesische,chinesische,182
Xi,Xi,177
İşbank,İşbank,166
Peking,Peking,165
Trump,Trump,151
Bank,Bank,120
chinesischen,chinesischen,109
Li,Li,108
EUR,EUR,104
Investitionen,Investitionen,84
Risiken,Risiken,77
